row,item,version,letter,sentence,sentence_spr,im_jahr,year,future,pp,det_nom,objnp,qm1,fact,qm2,verb,comma,spillover_verb,name,real_name,wrong_name,name_match,spillover_pp,full_sentence,condition,list,life_status,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,year_time,fact_time,year_fact
1,1,1,a,1a,"Im Jahr*2001*werde ich*in dem Film*„Harry Potter und der Stein der Weisen“*auftreten,*das behauptete*Emma Watson*in einem Interview.",Im Jahr,2001,werde ich,in dem,Der,Film,„,Harry Potter und der Stein der Weisen,“,auftreten,",",das behauptete,Emma Watson,Emma Watson,Russell Crowe,yes,in einem Interview.,"Im Jahr 2001 werde ich in dem Film ""Harry Potter und der Stein der Weisen"" auftreten, das behauptete Emma Watson in einem Interview.",full match,11,alive,F,J,match,match,critical,DP,Actors,Emma_Watson.jpg,new,new,match
2,1,3,a,3a,"Im Jahr*1939*werde ich*in dem Film*„Der Zauberer von Oz“*auftreten,*das behauptete*Judy Garland*in einem Interview.",Im Jahr,1939,werde ich,in dem,Der,Film,„,Der Zauberer von Oz,“,auftreten,",",das behauptete,Judy Garland,Judy Garland,Humphrey Bogart,yes,in einem Interview.,"Im Jahr 1939 werde ich in dem Film ""Der Zauberer von Oz"" auftreten, das behauptete Judy Garland in einem Interview.",full match,11,dead,F,J,match,match,critical,DP,Actors,Judy_Garland.jpg,old,old,match
3,2,6,d,6d,"Im Jahr*2018*werde ich*das Lied*„Thriller“*aufnehmen,*das verkündete*David Bowie*gegenüber der Presse.",Im Jahr,2018,werde ich,das,Das,Lied,„,Thriller,“,aufnehmen,",",das verkündete,Michael Jackson,David Bowie,Michael Jackson,no,gegenüber der Presse.,"Im Jahr 2018 werde ich das Lied ""Thriller"" aufnehmen, das verkündete David Bowie gegenüber der Presse.",life-fact mismatch,11,dead,F,J,mismatch,mismatch,critical,DP,Musicians,David_Bowie.jpg,new,old,mismatch
4,2,8,d,8d,"Im Jahr*1982*werde ich*das Lied*„This Is America“*aufnehmen,*das verkündete*Namika*gegenüber der Presse.",Im Jahr,1982,werde ich,das,Das,Lied,„,This Is America,“,aufnehmen,",",das verkündete,Childish Gambino,Namika,Childish Gambino,no,gegenüber der Presse.,"Im Jahr 1982 werde ich das Lied ""This Is America"" aufnehmen, das verkündete Namika gegenüber der Presse.",life-fact mismatch,11,alive,F,J,mismatch,mismatch,critical,DP,Musicians,Namika.jpg,old,new,mismatch
5,3,10,c,10c,"Im Jahr*1997*werde ich*in dem Film*„Vom Winde verweht“*mitspielen,*das meinte*Clark Gable*zu einem Reporter.",Im Jahr,1997,werde ich,in dem,Der,Film,„,Vom Winde verweht,“,mitspielen,",",das meinte,Clark Gable,Clark Gable,James Dean,yes,zu einem Reporter.,"Im Jahr 1997 werde ich in dem Film ""Vom Winde verweht"" mitspielen, das meinte Clark Gable zu einem Reporter.",life mismatch,11,dead,F,J,mismatch,match,critical,DP,Actors,Clark_Gable.jpg,new,old,mismatch
6,3,12,c,12c,"Im Jahr*1940*werde ich*in dem Film*„Austin Powers“*mitspielen,*das meinte*Mike Myers*zu einem Reporter.",Im Jahr,1940,werde ich,in dem,Der,Film,„,Austin Powers,“,mitspielen,",",das meinte,Mike Myers,Mike Myers,George Clooney,yes,zu einem Reporter.,"Im Jahr 1940 werde ich in dem Film ""Austin Powers"" mitspielen, das meinte Mike Myers zu einem Reporter.",life mismatch,11,alive,F,J,mismatch,match,critical,DP,Actors,Mike_Myers.jpg,old,new,mismatch
7,4,14,b,14b,"Im Jahr*1977*werde ich*das Buch*„The Handmaid's Tale“*schreiben,*das erzählte*Stephen King*einer Tageszeitung.",Im Jahr,1977,werde ich,das,Das,Buch,„,The Handmaid's Tale,“,schreiben,",",das erzählte,Margaret Atwood,Stephen King,Margaret Atwood,no,einer Tageszeitung.,"Im Jahr 1977 werde ich das Buch ""The Handmaid's Tale"" schreiben, das erzählte Stephen King einer Tageszeitung.",fact mismatch,11,alive,F,J,match,mismatch,critical,DP,Authors,Stephen_King.jpg,new,new,match
8,4,16,b,16b,"Im Jahr*1929*werde ich*das Buch*„In einem andern Land“*schreiben,*das erzählte*Virginia Woolf*einer Tageszeitung.",Im Jahr,1929,werde ich,das,Das,Buch,„,In einem andern Land,“,schreiben,",",das erzählte,Ernest Hemingway,Virginia Woolf,Ernest Hemingway,no,einer Tageszeitung.,"Im Jahr 1929 werde ich das Buch ""In einem andern Land"" schreiben, das erzählte Virginia Woolf einer Tageszeitung.",fact mismatch,11,dead,F,J,match,mismatch,critical,DP,Authors,Virginia_Woolf.jpg,old,old,match
9,5,18,a,18a,"Im Jahr*2000*werde ich*in dem Film*„Pulp Fiction“*zu sehen sein,*das stellte*Uma Thurmann*in einem Interview fest.",Im Jahr,2000,werde ich,in dem,Der,Film,„,Pulp Fiction,“,zu sehen sein,",",das stellte,Uma Thurmann,Uma Thurmann,Kate Winslet,yes,in einem Interview fest.,"Im Jahr 2000 werde ich in dem Film ""Pulp Fiction"" zu sehen sein, das stellte Uma Thurmann in einem Interview fest.",full match,11,alive,F,J,match,match,critical,DP,Actors,Uma_Thurman.jpg,new,new,match
10,5,20,a,20a,"Im Jahr*1959*werde ich*in dem Film*„Manche mögen's heiß“*zu sehen sein,*das stellte*Marilyn Monroe*in einem Interview fest.",Im Jahr,1959,werde ich,in dem,Der,Film,„,Manche mögen's heiß,“,zu sehen sein,",",das stellte,Marilyn Monroe,Marilyn Monroe,Jimmy Stewart,yes,in einem Interview fest.,"Im Jahr 1959 werde ich in dem Film ""Manche mögen's heiß"" zu sehen sein, das stellte Marilyn Monroe in einem Interview fest.",full match,11,dead,F,J,match,match,critical,DP,Actors,Marilyn_Monroe.jpg,old,old,match
